Available and desirable,,Gelesen: 7/46
,,
Avlbl,Glsn,"Autor, Werk/Sammlung"
FALSE,FALSE,!Dickens (Pickwick club; Copperfield; Bleak house; Oliver Twist)
FALSE,FALSE,!Henry O.
FALSE,FALSE,!Jerome (Three men in a boat)
FALSE,FALSE,?Barnes (Nothing to be frightened of)
FALSE,FALSE,Bierice A. (The Devil's dictionary; Stories)
FALSE,FALSE,Bradbury (Fahrenheit 451; Dandelion wine; etc.)
FALSE,FALSE,Carroll (Alice in wonderland)
FALSE,FALSE,Carroll (Alice through the looking-glass)
FALSE,FALSE,Hemingway (Fiesta)
FALSE,FALSE,Keyes (The Milligan wars)
FALSE,FALSE,London (!South Sea tales: stories)
FALSE,FALSE,London (!The Sea-Wolf)
FALSE,FALSE,London (Children of the frost: stories)
FALSE,FALSE,London (Son of the wolf: stories)
FALSE,FALSE,London (The call of the wild)
FALSE,FALSE,London (White Fang)
FALSE,FALSE,Maugham (The Moon and the Sixpence)
FALSE,FALSE,Orwell (1984)
FALSE,TRUE,Rowling (HP)
FALSE,FALSE,Shakespeare
FALSE,FALSE,Wells H. (The time machine; The war of the worlds; The world set free)
FALSE,FALSE,
TRUE,FALSE,Austen (Pride and prejudice)
TRUE,FALSE,Barrie (Peter Pan)
TRUE,FALSE,Blake 
TRUE,FALSE,Faulkner (As I lay dying)
TRUE,TRUE,Hemingway (A moveable feast)
TRUE,FALSE,Hemingway (Across the river into the trees)
TRUE,FALSE,Hemingway (Death in the Afternoon)
TRUE,TRUE,Hemingway (For whom the bell tolls)
TRUE,FALSE,Hemingway (The first forty-nine stories)
TRUE,TRUE,Keyes (Flowers for Algernon)
TRUE,TRUE,Keyes (The minds of Billy Milligan)
TRUE,FALSE,Kipling (The best short stories)
TRUE,FALSE,Maugham (Cakes and Ale)
TRUE,FALSE,Maugham (Of Human Bondage)
TRUE,TRUE,Miles Davis (Autobiography)
TRUE,FALSE,"Nabokov (Speak, Memory)"
TRUE,TRUE,Salinger (The catcher in the rye)
TRUE,FALSE,Shakespeare (Romeo and Juliet)
TRUE,FALSE,Swift (Gulliver's travells)
TRUE,FALSE,Thackeray (The book of snobs)
TRUE,FALSE,Thackeray (Vanity Fair)
TRUE,FALSE,Twain (Huckelberry Finn)
TRUE,FALSE,Twain (Tom Sawyer)
TRUE,FALSE,"Wilde (De Profundis, The Ballad and other writings)"
TRUE,FALSE,Wilde (Fairy Tales and The Canterville ghost)